Country,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4
Estonia,-3.243714221,-1.787621076,-0.659162038,3.833977162,8.609450507,10.30741274,10.50666546,10.12176596,7.626063339,5.104304516,5.960134867,5.141406771,4.373478516,7.961302476,7.919628595,7.143963821,8.813490163,7.515907688,6.415121552,8.390411513,8.42837035,5.26178236,6.604927344,6.055370416,5.464686962,10.40391346,10.53634176,10.77316456,11.36426171,9.349410759,9.249454199,9.452872398,10.56438728,8.73036287,6.495084942,3.273711484,-2.262347277,-1.620428493,-1.70876192,-12.70492622,-13.05493965,-16.80234413,-18.45389555,-7.12892047,-3.277986807,1.361951096,4.899794921,6.620134625,7.308561799,7.952734721,8.086519411,5.740134758,4.183708264,3.384518175,2.155883551,3.074073223,2.919413475,1.488202866,0.78483537,-0.125315647,1.065771933,1.737426867,3.348389379,4.94855881,1.833726922,3.394880081,2.80565499,1.100727432,4.160518293,2.082463974,2.46468977,3.870150792,4.135647146,5.931274884,5.186094243,5.578766294,4.625698134,4.13120922,4.489439852,4.1643889,5.220704121,4.81717753,5.479490946,4.122982985
Finland,3.160992013,2.540543532,3.850427825,8.028927964,5.612147883,5.32764763,6.085816703,5.998792366,3.57005067,3.525854558,2.733439241,0.624133148,1.549656046,2.353843869,0.976902874,1.951855863,0.736103299,1.00355476,3.07980262,3.181960841,4.032336376,4.168262785,3.381596944,4.370715272,5.084824866,2.689098807,2.249087591,1.170219921,3.077811334,3.753441214,4.278766787,5.001218729,3.774397863,5.675640694,5.696987849,6.033427595,3.34025327,2.07197828,0.779241808,-2.923673997,-8.405150766,-9.319627215,-7.840616967,-6.700016402,0.741309354,4.066869569,2.412395397,5.53968533,5.07695992,2.13834612,2.593892967,0.485123571,-0.153320211,-1.512605042,-1.779566101,-2.150760433,-2.62912162,-0.722622509,-0.105583242,-0.118583771,-0.040491007,-0.496572799,-0.410095971,-0.508819539,-0.392282273,0.712320587,0.422397691,1.436242755,2.758930674,2.545369841,3.050030648,2.896937103,3.505519683,3.039752194,2.865405915,3.662644699,2.296098042,1.731567028,1.46158601,0.586903003,0.812448361,1.879395599,1.440531405,0.44641983
France,2.94012396,2.876386538,3.35265299,4.006459927,4.439732091,4.548640395,3.981847626,3.400859065,3.005012793,2.152071514,1.851010476,1.0165187,0.791057091,1.158046942,1.199284547,1.237536682,1.038983801,0.322038585,0.638523322,1.38132844,2.153697099,3.048061674,2.646125467,2.626991824,1.952773124,1.473396157,1.691664154,1.712336439,2.230400968,3.083046589,2.564681911,2.624175815,2.574337292,2.342511399,2.67698384,2.081987907,1.798667754,0.53642645,-0.109574766,-1.72894249,-3.793499088,-3.437866813,-2.983818075,-0.895239651,1.166686444,1.792307708,2.225595835,2.196792926,2.864018736,2.381378414,2.077749804,1.606321591,0.677538966,0.442059271,0.348556804,0.042523435,-0.095708412,0.772232173,0.591054705,1.158412755,1.322116974,0.715452037,1.137442715,0.766606222,1.156046727,1.045614977,0.970454035,0.950179954,1.128086383,0.914920339,0.804369359,1.270035927,1.381115758,2.359309495,2.845240917,3.110072567,2.42016982,1.896969134,1.563804537,1.359569467,1.776581568,1.82976509,1.603779677,0.74672689
Germany,0.781593986,1.208477821,1.871876771,3.12544193,3.400497086,4.249858119,3.033084412,1.910867937,2.500004013,1.617658728,1.464504835,1.682466178,-0.850739251,-0.386345763,0.299717911,0.265085117,-0.711642815,-1.011938378,-0.763034498,-0.357358332,0.979234915,1.37874206,0.409310785,0.034990505,0.210301694,0.232475515,1.281149955,1.877110965,2.856477808,4.070510922,4.001843708,5.058361456,4.134578619,3.228783698,2.949457871,2.099653903,2.669576725,1.557135868,0.410829039,-1.853757632,-7.029257431,-6.643277803,-5.540702074,-3.293834467,2.292164803,4.406232905,4.699354917,4.754951551,5.930875485,3.707745602,3.752979747,2.618301204,0.860345845,0.985803107,0.383081775,0.258811539,-0.414763699,0.439929207,0.708743968,1.473235717,2.912830205,1.834960783,1.783873195,2.302400578,0.822155354,1.534668144,1.476540334,1.112702413,2.506850752,2.178215066,1.989178981,1.900404722,2.265787301,2.531644108,3.181282569,3.646997244,2.177057175,1.990624149,0.768424965,0.272843387,1.095978615,0.11493705,0.755513226,0.396416753
Greece,2.361704355,2.86197618,2.896443297,3.724339464,3.330421774,3.318944495,4.848009813,4.662254616,5.557085016,4.317066945,4.064341291,2.880212644,2.452555275,5.022569822,3.943039937,4.467728455,5.778436775,5.29512856,5.347760594,6.775966831,6.510927293,4.637807316,5.373131112,2.774821603,0.335709457,0.593025488,0.648996724,1.54047551,5.469142465,5.54199109,4.591190257,6.716217109,2.537298304,5.19988242,4.047603993,0.964196719,2.385711643,-1.147594182,-0.624737981,-1.52470938,-6.770290811,-3.564516207,-4.170677348,-2.688349298,0.490489048,-5.213892658,-7.872172871,-9.073907494,-10.2523356,-8.838899705,-7.472871441,-10.11355933,-8.375878109,-8.676711858,-7.920855136,-4.097709083,-5.222083882,-3.369865874,-1.729941871,-2.321455274,0.650297685,0.402156406,1.271881151,0.763553876,0.361305518,0.598831072,-2.638611344,-0.307328483,-0.638831508,-1.310551254,0.980186422,-0.045679458,-0.026473144,1.74193179,1.8458269,2.210622498,2.755454175,1.376292431,1.825057205,1.698625842,1.720354894,2.818500195,2.162884352,0.78292557
Hungary,2.510912099,2.112223674,3.044295717,4.208228724,5.058416291,4.960384392,3.988655126,4.631249938,4.52755943,4.338496041,4.336352759,3.228528692,4.778119436,4.529569339,4.584449929,5.049357888,3.536033112,4.023840343,4.305971434,4.1200345,4.850229971,4.884119011,4.811648675,4.245391325,3.654145939,4.555797574,4.107200718,4.780730068,4.772031011,4.140023255,4.006194067,3.814460293,1.548748305,0.079429863,0.007411757,-0.496008621,1.757691772,2.441870354,1.687570536,-2.114542242,-7.227670729,-7.730421165,-7.556643011,-4.244838066,0.055901626,0.880294299,1.903646751,1.452720106,2.575554605,1.687539854,1.064715843,2.465130771,-0.408525404,-1.048848155,-1.221738751,-2.267513079,-0.266208811,1.410442461,2.736463341,3.672374967,4.263343828,4.595072442,4.017969141,3.709391718,4.66119191,3.453465088,3.255008266,3.738089877,1.33395367,2.612878634,2.345695676,2.123511205,4.25337559,4.066346457,4.462924954,5.029245132,5.420725565,5.295032247,5.710633626,5.328986184,5.110692048,4.747501951,4.444125739,4.023269553
India,6.19852,7.53136,6.92997,7.28888,7.79075,5.21917,5.30476,3.63806,2.0557,4.03951,3.94624,6.2882,6.56987,5.04817,4.38065,2.11781,3.58059,5.54613,7.68505,11.13362,9.08313,8.9182,8.66936,7.25254,8.73418,9.57187,8.49515,9.12449,9.93377,8.08975,10.12762,9.25047,9.55723,10.72776,9.11082,10.89759,8.53763,6.97469,6.00342,2.66643,0.16417,4.88253,6.63314,8.76762,13.69472,10.03996,10.47141,10.68164,9.85151,8.57399,5.45264,4.73924,4.27646,4.22103,6.09487,5.63359,5.86099,6.11874,5.91755,6.97852,6.51421,7.44278,7.68087,6.98087,7.54184,7.39431,7.41543,7.93386,9.19265,8.91219,9.0638,8.42943,6.7052,6.71459,6.64854,7.18077,7.60795,7.00642,6.45324,5.65305,5.4166,4.98024,4.39894,4.07719
Indonesia,-6.407873962,1.497006775,2.921312595,5.991806941,3.483446099,2.945097255,5.165717716,8.074008921,4.029583907,5.701399459,3.208735938,1.744698795,3.724201422,3.993755402,5.306708538,4.958619448,5.047811925,4.890617266,4.646272809,4.547430215,4.413139891,4.477195955,4.652180371,6.54703802,6.163742811,6.110555945,5.990071298,4.554141964,5.083286687,5.219988816,5.750754633,5.931368337,6.250393094,6.659454134,6.622367658,5.857952602,6.450162655,6.274599695,6.055767064,5.29834354,4.435945292,4.202839659,4.389441087,5.763112964,6.051447104,6.467396802,6.417260515,6.56402853,6.369984832,6.145862785,6.158394827,6.013250486,6.080577774,6.121127702,6.004041053,5.91890848,5.799712285,5.576903088,5.489288315,5.37284311,5.145427629,5.111265509,4.95355128,4.823650385,4.870063974,4.776326718,4.854169975,5.001988947,4.980548113,5.087375048,5.07555722,4.988795205,5.039724605,5.032540537,5.063777168,5.141056206,5.174977843,5.170571054,5.177309042,5.156277009,5.073384025,5.076784715,5.014937836,4.93670897
Ireland,9.505501743,8.110004902,8.716391631,13.67920879,8.582136183,10.70249066,7.975085664,6.071235661,8.798335657,6.235134553,3.881216307,5.49187189,4.450820945,4.508817907,7.999715701,6.203660661,3.587761257,3.298033154,1.911935996,5.910164654,6.582930075,8.426606174,6.768999447,4.105671623,5.950870977,5.526100269,5.126661948,5.463446114,6.289019561,4.432826119,5.767551406,3.635623191,7.706719919,5.712926586,1.958879142,6.897371018,-3.238599875,-3.592925083,-1.016611533,-10.29478821,-6.723701918,-4.941832915,-5.776614644,-2.50089304,0.101774109,0.512056033,2.135117822,3.232461501,0.552350443,1.653221876,-0.477034326,-0.56250751,-0.411550263,-0.216112061,-0.891678543,1.508935263,-0.968934195,0.230859432,5.055200336,2.185029544,8.431513055,9.520097682,7.8899301,8.209412029,28.96028366,21.86998576,24.52793586,26.29270943,-1.652318329,1.787532299,-1.614657381,8.210643472,9.039184218,7.832527642,14.60151293,6.465004512,12.43507193,12.70163734,7.650982211,4.908436964,3.658376131,5.219913169,6.830288801,7.740694529
Israel,0.872110254,5.138127207,4.695011382,5.859990357,9.077346505,7.899267675,10.66919823,8.26276777,4.832125073,1.063571795,-2.909549785,-3.257865958,-1.759184097,-0.694564616,0.456385297,0.826786118,1.492013156,0.696068294,1.396948585,1.937404388,3.117368071,4.398271971,4.922110778,5.827220372,4.039719838,4.127268895,3.989211163,4.514900333,5.931233382,6.761328721,4.832714813,4.689090532,4.85063081,4.662584124,7.322597093,7.088698053,5.765436073,4.331700489,2.462688057,0.351634794,-0.464619767,0.096124594,1.099716218,3.160159261,4.574291728,5.165397509,5.32717982,5.392435323,5.224815586,4.589717843,5.366299157,4.383714211,3.126183717,2.167120315,1.131327262,1.333384684,2.50856441,4.546706319,4.70588262,4.922797979,4.908264469,4.007838364,3.469239817,4.266730764,3.309454767,2.341922957,1.974703748,1.217283716,1.821748843,3.61681093,4.599427896,4.725711796,3.970072091,3.428784963,3.503130465,3.611218569,4.70450786,3.777707671,3.291595467,2.976187381,3.158002407,2.988580179,3.274689458,3.692129289
Italy,0.853302756,0.669738767,1.420229261,3.355200106,3.872557515,4.265738109,4.0426694,4.037367333,3.418835269,2.351983396,1.464158954,-0.070844377,-0.62094277,0.074083541,0.53161173,1.01869214,0.588611954,0.128794826,-0.150177382,0.327200178,1.100340292,1.460799109,1.499479863,0.848343562,0.380374157,0.757317166,1.491388124,1.358700189,1.754284961,1.759049676,1.456122486,2.550057485,2.255182981,1.699157458,1.471042961,-0.015639708,1.047268421,-0.002339856,-1.368930022,-3.527383811,-7.188815142,-6.615952262,-5.038755319,-2.319886589,0.821882286,1.890241429,1.848413603,2.131750043,2.160314888,1.516108936,0.591610427,-0.864314515,-2.403118143,-3.209315771,-3.277812613,-3.161266181,-2.892420867,-2.195690996,-1.456525907,-0.885724298,0.103113662,0.117493893,0.04088209,0.01632552,0.14673266,0.516210635,0.61123042,1.367830917,1.447965077,1.269876943,1.574257687,1.329137365,1.579297106,1.774321411,1.640538731,1.924991734,1.397700004,1.09085116,0.616064485,0.196775543,0.354635835,0.405901434,0.491825014,0.10527812
Japan,-0.73841182,0.01841057,0.404627068,-0.313240436,2.79147698,2.72557767,2.22902279,3.166011109,1.884655662,1.102331048,-0.006177812,-1.274034803,-1.632992068,-0.419761828,0.925276593,1.498658577,1.403517378,1.293144035,1.362163481,2.218641162,2.855174176,2.229144699,2.466232968,1.138865322,0.921913419,1.576884485,1.921338174,2.311991275,2.0010459,1.575819678,0.430485412,1.562331637,2.116789546,1.983625115,1.663223295,0.822256506,0.343089576,-0.152408517,-0.900926861,-3.762439416,-8.597868122,-6.326814478,-5.103682974,-1.404903082,4.43895977,3.6805049,5.501559035,3.219384474,0.908201989,-1.09080342,-0.427026176,0.237303265,2.890547536,2.805967134,-0.074731725,0.349249076,0.363218828,1.881744313,3.126283368,2.821152024,2.592616247,-0.151491262,-0.887657766,-0.362307591,0.015524783,2.080704352,1.925166572,1.034647857,0.177067172,0.195789578,0.476833866,1.153511472,1.823481988,2.018119768,2.375547249,2.555012504,0.914619876,0.979585853,-0.410132019,-0.30927409,0.83023793,0.869366402,1.745108588,-0.665013963
"Korea, Rep.",6.583397539,12.16131075,13.30116523,13.73250618,12.47460504,9.187473677,9.159237157,5.752766405,5.057922525,5.023056985,3.587655198,5.756611965,7.134576542,7.677398844,8.390946792,7.68238505,4.318227912,2.30354585,2.214156235,3.773317382,5.772676581,6.744794051,5.145618814,3.218131462,2.806402673,3.95274556,5.091342447,5.356856008,6.180250599,4.975060286,5.08739741,4.844851011,4.880914676,5.921792787,5.463010624,6.904624178,5.567555979,4.315216973,3.946152422,-1.589977756,-1.896186505,-1.106362311,1.028926786,5.239425329,7.204676456,7.804557338,5.881250359,6.377779149,5.307370682,3.851242513,3.205589616,2.44390986,2.386442244,2.460569106,2.365239164,2.398036152,2.403330714,3.02743644,3.463155446,3.753845347,3.827576261,3.492772595,2.928083012,2.581210307,2.483327314,2.033215893,3.214977299,3.495710503,2.90964389,3.647154194,2.599651718,2.64274291,3.185969735,2.74204146,3.786877739,2.924038843,3.178809226,3.100693395,2.198493084,3.160310341,1.725215504,2.12823508,1.923495838,2.374366485
Latvia,-0.581956425,-1.372436219,2.757707637,8.727131046,6.306997107,7.892069178,7.09135312,2.147117821,3.91027264,9.11096567,3.430878713,8.115136593,5.718757743,4.765049847,8.693973413,9.237569239,10.2640654,8.15067571,9.599934039,6.67726841,9.821652016,8.410919595,6.780563111,8.09901762,6.897680825,8.096725125,12.76369731,14.21152837,10.73816302,13.3903919,11.70327131,12.55443577,15.22835223,12.07464551,10.50594376,4.548855921,4.57818608,-1.093307938,-6.8025212,-7.998873331,-13.05177826,-14.97398446,-15.74570067,-13.41226065,-10.77825851,-5.985795969,-1.366916374,-0.425796386,2.099456555,6.310045184,8.690675534,7.701245564,8.037014852,4.056591103,3.146174617,3.108406744,1.751771389,2.173023718,2.479017482,3.068188405,1.390934644,1.845396346,0.967708094,0.685656556,3.219585604,4.079732343,4.44792173,3.723683427,3.736440384,1.629830166,1.037040147,2.384106946,2.051533148,3.611941131,3.958298437,3.285611552,2.974996686,3.894462553,4.775925728,5.150591125,3.572306294,2.444780845,1.538465828,0.750228438
Lithuania,0.679868601,-0.353175867,-2.49126902,-2.333188857,1.491947905,2.126653485,4.963841207,6.361413066,6.617611818,5.91782427,6.442684103,7.327597802,4.916749956,7.817222353,7.545165192,6.63892101,11.17684681,9.401954887,10.55537542,10.85407115,7.228824787,7.626199995,5.349788685,5.895898548,7.165188325,6.883026771,9.057588813,8.570148832,7.166859243,7.906943677,6.886745493,7.804628072,10.64242641,10.91542527,11.95606454,10.86043354,6.585479065,4.632293064,0.632081125,-1.856479311,-14.05478548,-15.75175149,-14.33738537,-14.59224317,-1.235070768,1.343872467,1.37361927,4.915146302,6.104491322,6.275262589,6.720973164,5.383491755,3.960376346,3.158224434,4.383377986,3.714949749,3.78270121,4.236259346,2.877383702,3.711943344,4.233511841,3.772739048,3.399634554,2.512984298,2.006192528,2.092910551,2.133541964,2.089523143,1.984697809,1.70390587,2.540752233,3.372699036,4.000818859,4.666719032,4.512390534,4.288958485,3.957027637,4.065888256,3.912960683,4.039537738,4.884058468,4.43013214,4.142143101,3.852987715
